Year,Annual CO2 emissions 
1900,12607824
1901,14179680
1902,14436160
1903,14388528
1904,14978432
1905,15586656
1906,18221072
1907,19562096
1908,20906784
1909,18818304
1910,22339408
1911,23848976
1912,25648000
1913,26604304
1914,29561152
1915,26725216
1916,24310640
1917,25376864
1918,27483664
1919,25867840
1920,29290016
1921,26651936
1922,27905024
1923,28685456
1924,31059728
1925,32323808
1926,32125952
1927,33390032
1928,31000847
1929,28546174
1930,26893798
1931,23784460
1932,23880348
1933,25125693
1934,26679554
1935,29378853
1936,31225003
1937,33236124
1938,32281157
1939,36603309
1940,33796657
1941,39545532
1942,41597877
1943,40360099
1944,39678416
1945,38314307
1946,40952299
1947,43465180
1948,43922526
1949,43255470
1950,63714413
1951,67686754
1952,70254297
1953,68666774
1954,77700743
1955,81151547
1956,84276196
1957,86297625
1958,88946073
1959,95053307
1960,100973380
1961,103676995
1962,107208883
1963,114488152
1964,124048756
1965,136725214
1966,136762210
1967,145474846
1968,151161138
1969,159429093
1970,165832813
1971,172156168
1972,177757861
1973,194305177
1974,196740328
1975,199435004
1976,198480865
1977,213266231
1978,224620093
1979,226513268
1980,243555227
1981,252122044
1982,257191421
1983,247750357
1984,260633525
1985,268324406
1986,268056450
1987,285610352
1988,291932082
1989,308604456
1990,310806408
1991,314080448
1992,320499727
1993,325386130
1994,334462937
1995,342543664
1996,352408520
1997,365180052
1998,375643730
1999,385044934
2000,391609448
2001,402960130
2002,410452456
2003,419239575
2004,433075344
2005,435514013
2006,445148448
2007,450934284
2008,458011016
2009,447206249
2010,451189137
2011,451908773
2012,450679901
2013,441040275
2014,449238205
2015,454010038
2016,465735657
2017,466026027
2018,467724583
2019,471189339
2020,444571198
