Category,Annual Mean,
1901,21.63,
1902,21.63,
1903,21.27,
1904,21.18,
1905,21.28,
1906,21.96,
1907,21.29,
1908,20.92,
1909,21.07,
1910,21.49,
1911,21.28,
1912,21.78,
1913,21.20,
1914,22.09,
1915,22.07,
1916,21.44,
1917,20.75,
1918,21.25,
1919,21.74,
1920,21.29,
1921,21.61,
1922,21.38,
1923,21.50,
1924,21.07,
1925,21.04,
1926,21.77,
1927,21.41,
1928,21.83,
1929,21.04,
1930,21.63,
1931,21.28,
1932,21.49,
1933,21.35,
1934,21.46,
1935,21.37,
1936,21.63,
1937,21.50,
1938,22.01,
1939,21.35,
1940,21.61,
1941,21.23,
1942,21.80,
1943,21.14,
1944,21.42,
1945,21.46,
1946,21.15,
1947,21.42,
1948,21.29,
1949,20.89,
1950,21.14,
1951,21.31,
1952,21.28,
1953,21.28,
1954,21.33,
1955,21.33,
1956,20.80,
1957,21.71,
1958,21.82,
1959,21.95,
1960,21.09,
1961,21.79,
1962,21.67,
1963,21.57,
1964,21.49,
1965,21.93,
1966,21.21,
1967,21.52,
1968,21.33,
1969,21.70,
1970,21.58,
1971,21.44,
1972,21.85,
1973,22.17,
1974,21.05,
1975,21.49,
1976,21.04,
1977,21.68,
1978,21.43,
1979,22.03,
1980,22.39,
1981,21.96,
1982,21.76,
1983,22.07,
1984,21.32,
1985,21.86,
1986,21.87,
1987,21.83,
1988,22.40,
1989,21.64,
1990,22.12,
1991,22.30,
1992,21.75,
1993,22.00,
1994,21.93,
1995,21.77,
1996,22.11,
1997,21.82,
1998,22.42,
1999,21.90,
2000,21.52,
2001,21.58,
2002,22.25,
2003,22.22,
2004,22.07,
2005,22.57,
2006,21.92,
2007,22.08,
2008,21.78,
2009,22.22,
2010,21.58,
2011,21.53,
2012,21.83,
2013,22.81,
2014,22.63,
2015,22.43,
2016,22.50,
2017,22.57,
2018,22.58,
2019,22.88,
2020,22.65,
