Afghanistan,0,Group B,34.4754 66.8303,Afghanistan
Albania,0,Group A,41.1413 20.0325,Albania
Algeria,0,Group D,27.5231 3.1685,Algeria
Andorra,0,Group C,42.5413 1.5609,Andorra
Angola,0,Group C,-12.2916 17.5029,Angola
Antigua and Barb.,0,Group C,17.079 -61.804,Antigua and Barb.
Argentina,0,Group A,-96.0845,Argentina
Armenia,0,Group A,40.2165 45.0003,Armenia
Australia,1,Group B,-23.079 132.842,Australia
Austria,0,Group A,47.614 14.0762,Austria
Azerbaijan,0,Group B,40.2805 47.6804,Azerbaijan
Bahamas,0,Group D,24.5065 -77.916,Bahamas
Bahrain,0,Group A,26.0165 50.5475,Bahrain
Bangladesh,0,Group A,23.5391 89.8049,Bangladesh
Barbados,0,Group B,13.1645 -59.5405,Barbados
Belarus,0,Group D,53.744 27.947,Belarus
Belgium,0,Group D,50.6522 4.5809,Belgium
Belize,0,Group D,17.197 -88.7035,Belize
Benin,0,Group A,10.6795 2.2845,Benin
Bhutan,0,Group A,27.5075 90.459,Bhutan
Bolivia,0,Group D,-81.3702,Bolivia
Bosnia and Herzegovina,0,Group C,44.1809 17.8168,Bosnia and Herzegovina
Botswana,0,Group C,-21.6721 23.9051,Botswana
Brazil,0,Group B,-61.4271,Brazil
Brunei,0,Group C,4.6904 114.9152,Brunei
Bulgaria,0,Group D,42.7345 23.8815,Bulgaria
Burkina Faso,0,Group B,13.0516 -0.6541,Burkina Faso
Burundi,0,Group A,-3.407 29.8885,Burundi
Cambodia,0,Group A,12.5285 104.3905,Cambodia
Cameroon,0,Group A,4.5495 11.3105,Cameroon
Canada,0,Group C,58.838 -120.439,Canada
Cape Verde,0,Group D,15.0819 -23.6368,Cape Verde
Central African Republic,0,Group A,7.2596 21.6691,Central African Republic
Chad,0,Group B,17.1223 19.3602,Chad
Chile,0,Group D,-118.6763,Chile
China,1,Group A,32.205 109.444,China
Colombia,0,Group B,3.6525 -73.3121,Colombia
Comoros,0,Group A,-11.79 43.356,Comoros
Congo,0,Group D,0.0213 16.1533,Congo
Costa Rica,0,Group B,9.9656 -84.1755,Costa Rica
Cote d'Ivoire,0,Group B,7.5538 -5.6121,Cote d'Ivoire
Croatia,0,Group C,46.001 16.172,Croatia
Cuba,0,Group D,20.2717 -75.3897,Cuba
Cyprus,0,Group B,34.8725 33.131,Cyprus
Czech Republic,0,Group A,49.836 15.5465,Czech Republic
Democratic Republic of the Congo,0,Group C,-1.6864 23.7526,Democratic Republic of the Congo
Denmark,0,Group B,56.2196 9.3108,Denmark
Djibouti,0,Group B,12.169 42.904,Djibouti
Dominica,0,Group D,15.4365 -61.357,Dominica
Dominican Republic,0,Group A,18.8845 -70.4623,Dominican Republic
Ecuador,0,Group C,-79.8388,Ecuador
Egypt,0,Group B,26.1939 28.8939,Egypt
El Salvador,0,Group A,13.7262 -88.8729,El Salvador
Equatorial Guinea,0,Group D,1.647 10.2955,Equatorial Guinea
Eritrea,0,Group C,15.9194 38.4016,Eritrea
Estonia,0,Group C,58.5425 26.5455,Estonia
Eswatini,0,Group B,-26.4899 31.3955,Eswatini
Ethiopia,0,Group B,8.83 38.362,Ethiopia
Falkland Islands,0,Group A,-111.175,Falkland Islands
Fiji,0,Group A,-17.814 177.759,Fiji
Finland,0,Group B,63.0704 27.7396,Finland
France,0,Group A,46.6113 2.3336,France
French Guiana,0,Group C,3.9045 -53.0915,French Guiana
Gabon,0,Group B,-0.647 11.6875,Gabon
Gambia,0,Group D,13.5035 -14.2265,Gambia
Georgia,0,Group B,42.1618 43.4818,Georgia
Germany,0,Group C,51.143 9.829,Germany
Ghana,0,Group B,6.862 -1.092,Ghana
Greece,0,Group B,38.4414 22.1814,Greece
Greenland,0,Group A,74.4231 -39.7294,Greenland
